project,BugInducing,InducingDate,BugFixing,FixingDates,InducingMessage
aiidateam/aiida-quantumespresso,891e8edf5916ecfe55363168c79091acc581a6ad,2019-07-11T11:28:48Z,d0a13b2fd34e566398440db7220b23917fd3a086/a77c68853cc87f538552a4ac45a799e097ad3f93/,2019-07-31 17:15:11+02:00/2020-10-09 21:39:35+02:00/,"`PwRelaxWorkChain`: various improvements

 * Start from scratch between meta convergence iterations
 * Do update the structure between meta convergence iterations
 * Exclude the `clean_workdir` from `PwBaseWorkChain` exposed inputs
 * Update the number of bands between cycles, if updated by base workchain
 * Set the `call_link_label` metadata inputs
 * Add error handler for `ERROR_IONIC_CONVERGENCE_REACHED_EXCEPT_IN_FINAL_SCF`"
TRIQS/triqs,2fc4f1cd090aa759d3675e6ed8a058df5ad2b409,2013-10-22T12:10:44Z,11fd166ca5c2d9b2085293582f5e666a62ddaf95/fa07abbea9affdc8945a8447f376dc8cba4eeb3b/26fe547f880df416f15fe6f6920840b58193397b/603e397e166296fc15baf4ea7737d7179b1b7758/bdac3e159c5997c894ae1133139779889d923942/,2015-08-22 21:22:21+02:00/2014-09-05 13:26:21+02:00/2015-08-22 16:48:37+02:00/2013-10-22 21:28:25+02:00/2013-12-30 22:31:36+01:00/,gf: add rebind view/const + delete swap
rigetti/forest-benchmarking,feaa847ef1bfc22a2f26730a83e6eba141a58e38,2019-02-07T22:00:52Z,fe15c067c42f54a78c319f88c6bc5fa275f39275/40deb4abb4087d4c2bbd51819a64ed1dbe4d5b05/858129257b01f4b6f9393798d17b72103f2f62ec/,2019-06-11 17:11:33-04:00/2019-03-21 10:37:20+11:00/2019-08-19 14:49:07-04:00/,clean
jcmgray/quimb,fbead6991ad8fa9c8d13dd29b5b63f2f724910d3,2016-04-18T16:53:10Z,ed7f306b7f255f23ff49e87558f543f302762f5d/3631638899b249f9056a57f9dda1f6c63f278bca/,2016-06-23 17:32:27+01:00/2016-07-02 17:48:21+01:00/,test explt small
deepchem/deepchem,e03fd43e3bc50fcec88e35eada8341cc24cbede6,2017-08-07T16:45:25Z,f51b1451522d9478a8ab7b4d59ba0763f0a7f20c/,2017-08-07 16:01:13-04:00/,tf 1.2.1
TRIQS/triqs,b40f7c8a0d28e778dea6ae073cb145333821b9ea,2015-07-27T16:02:48Z,8d1d13907096c7160f8b0b94abb2456c78cdf230/,2017-07-06 22:16:29+02:00/,"[c++2py] Fix property returning void...

- although it is a quite strange property !!"
orbkit/orbkit,69a42720821380136c6f8bc696b808425a4d5eae,2017-01-24T12:31:04Z,fbc033298116e14ae8877aa6187aea003b6cb53a/,2017-06-15 17:25:43+02:00/,Fixed bug SP orbitals in FChk reader
TRIQS/triqs,3aa380ba9d4deaf1addd69abb4081c5b35e73f5a,2014-05-07T08:49:50Z,2b5dd322ce6d2b5f7b8a9c525189271095ba73c6/8ce34550fb0d66cbfc6ec5bf25036dbc3397ca7f/f5db0d1e1e199643751b49c1f8a1d165a8ff9336/d6419d1e6935b204b048e0d3e46b5611b23d1033/,2014-05-29 21:34:46+02:00/2018-05-26 23:43:55+02:00/2020-02-20 16:07:47-05:00/2019-03-15 10:02:33-04:00/,"Fixed abs bug in bravais_lattice + added method

When constructing the last unit vector in 2D, the sanity check was wrong because of usage of abs instead of std::abs.

Added method energy_on_bz_path_2 that returns the energy *matrix* at each k point on a given path instead of the eigenvalues of this matrix. The name of the function should be changed (to energy_matrix_on_bz_path?)

Renaming energies_on_bz_path_2 to energy_matrix_on_bz_path"
TRIQS/triqs,6239dee8b39dfa09c7199d8288d64b61940991f2,2013-07-30T19:46:03Z,8ce34550fb0d66cbfc6ec5bf25036dbc3397ca7f/c95b548108eda92e40665d4da5bc1481a4cc4dd5/1030bc7a875f5d7fa377805cbf125a7e24819aa5/85141350e7a0c5d16ecf51573a4b4b97f5fe43ad/fa5202aac3a9d220fa6643bd9885552a886ba2d0/905f4ca1a3de425c9dc9744d9449e09be803a710/117d9f27991b3a2e1a2012764df990492a52df55/4af1afbdaf7facd6eda279f2ac8a1642e5963b62/7ae5ba58cb18e083adf69e6e475ec0479e5c890b/e2ca15160226d26b9dd6135429de710a3121f0fe/0e5c2418d68461e0b05eb9a0586f242711960c50/,2018-05-26 23:43:55+02:00/2013-10-03 11:02:09+02:00/2015-12-23 14:27:35+01:00/2014-01-30 22:17:28+01:00/2019-03-29 13:27:52-04:00/2015-02-14 15:56:43+01:00/2015-12-23 13:24:57+01:00/2014-06-08 21:47:32+02:00/2015-06-02 02:37:01+02:00/2016-05-09 11:37:33+02:00/2015-12-01 14:48:07+01:00/,"test/triqs/mc_tools directory added, with an example of simple random walker"
deepchem/deepchem,5add5bac13b6843bd1d1fd330b4f8cf349529f77,2018-07-31T13:33:49Z,f2856a6114554c0fd38c24acf2ced449349ce742/64099a1d2d671705cd9d4a18f9413f4c3569bc86/a95410a3727256e522375c713cfc59de879500df/,2018-12-27 14:49:31+01:00/2019-04-19 11:26:51-07:00/2020-05-21 15:59:31-07:00/,Just Changes To Graph Convs
